id,test_1,test_2,test_3,test_4,test_5,test_6,test_7,test_8,test_9
1,96.13866266663423,98.98678794355813,105.82504540350972,138.50515273471095,123.18202344640525,89.22880478864845,59.89476574231667,-72.4523296025949,-66.1815580512609
2,45.55270720434387,66.98334537930505,86.7049000766211,119.07199282598434,110.73926112612548,84.24843129033498,59.711037737130034,-97.734793077399,-87.41995921571656
3,107.39023465075331,94.09799716628686,97.5622976705485,129.0842676682462,113.38170217855276,79.41974804994123,52.80711965612527,-65.38109895908649,-53.87725162145872
4,118.89648880350627,102.21848486792332,105.89753720704971,137.66598373945334,120.47469777747001,84.43691902691214,56.22546672505097,-68.87306145095465,-56.521055025364596
5,93.07391405593373,84.44474438988259,90.40100877298138,119.84080025368009,105.90073149574144,74.78769336349357,50.354011681559975,-62.584700774544835,-59.919294160422155
6,111.0751766365501,96.97779435121781,102.61504436539428,133.71459192995874,119.06924131124012,85.05470698603787,58.34324555353591,-72.0332987694126,-59.448361313294285
7,113.00939561517777,99.37507745777654,102.87929150161617,136.16511351676434,119.331768523017,84.2711112487247,56.59161391732559,-70.043132174676,-59.02971824077596
8,122.23262121276773,105.88539234942158,111.01417858325999,144.5046171606271,127.99297069605831,90.86994327768386,62.138888264236975,-75.47575152320684,-62.52349086545035
9,102.93905650365753,113.62248557556308,129.7260461643024,171.12525017936696,153.3131065362514,110.43998298299577,73.38911013580955,-90.60007659453709,-76.38928918689487
10,92.01476160017951,80.329233197339,83.3097707980718,108.70314602733255,95.87206581997594,67.53893587619194,44.682069407826205,-54.12012990546062,-46.54045875408366
11,98.28348674695344,86.6847066762254,89.99107004320088,116.38573622212161,103.29308434313357,72.76981261088507,48.38850168603838,-58.661415620342616,-48.628677561869736
12,108.4626771171333,94.143245753916,101.6216996892438,133.58091218845945,116.96700408947477,82.89705657058092,55.84166416176268,-71.9304010795798,-60.68024787955692
13,107.15719395654699,95.42440135826904,99.19114411419572,128.23486980854645,114.36353917250943,83.41834081202184,57.30858471691325,-71.48094634050726,-58.599732934234474
14,53.2964403026062,51.54618471734096,53.483281944819275,71.74553382946486,68.1287034282177,48.80673891584176,36.6693960861961,-47.79862213121587,-41.051835384822105
